Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure
1032940,1.348448687,1.849642005,2.064439141,1.92124105,2.565632458,2.517899761,2.6849642,1.801909308,1.801909308,2.279236277,2.804295943,1.682577566,1.945107399,3.186157518,1.443914081,2.613365155,2.326968974,2.470167064,2.971360382,2.971360382,1.730310263,2.99522673,2.398568019,2.54176611,1.92124105,2.613365155,2.637231504,2.85202864,0.513126492,2.183770883,-0.918854415,-0.059665871,-1.252983294,-0.059665871
1027008,-1.929577465,10.83098592,5.732394366,2.492957746,8.183098592,-5.816901408,-3.197183099,-4.464788732,-2.577464789,4.183098592,11.90140845,4.774647887,8.098591549,2.887323944,-1.704225352,-1.084507042,3.929577465,7.929577465,14.04225352,-5.281690141,9.845070423,6.464788732,-0.352112676,-2.577464789,2.802816901,-1.816901408,2.633802817,8.295774648,4.971830986,13.22535211,8.267605634,4.802816901,9.76056338,13.12676056
1525555,4.14244186,2.194767442,1.64244186,2.863372093,2.456395349,3.270348837,5.537790698,6.555232558,0.74127907,2.223837209,-0.915697674,-0.218023256,1.148255814,-0.828488372,0.014534884,3.125,3.531976744,4.316860465,4.084302326,1.293604651,-0.130813953,3.997093023,3.706395349,2.311046512,2.078488372,6.933139535,-2.747093023,1.613372093,3.764534884,0.625,1.322674419,3.24127907,7.805232558,4.636627907
1065122,2.040572792,6.503579952,-0.155131265,2.326968974,-2.136038186,3.782816229,4.498806683,1.61097852,5.047732697,9.295942721,7.052505967,4.522673031,7.386634845,5.811455847,4.904534606,1.706443914,0.584725537,-1.062052506,-7.076372315,-0.131264916,-4.976133652,7.625298329,-0.035799523,-3.281622912,-2.971360382,0.966587112,3.997613365,2.99522673,-1.682577566,-2.136038186,5.31026253,-4.164677804,-1.515513126,3.830548926
1583236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1079678,1.61097852,2.350835322,2.303102625,3.854415274,5.525059666,3.92601432,6.264916468,3.019093079,0.584725537,8.53221957,4.570405728,4.737470167,6.288782816,1.92124105,0.322195704,2.756563246,2.756563246,6.885441527,6.933174224,6.789976134,5.477326969,5.644391408,1.085918854,1.1575179,6.909307876,0.704057279,4.618138425,8.007159905,4.856801909,4.427207637,4.904534606,1.754176611,-0.489260143,6.718377088
1507746,3.61575179,5.023866348,5.835322196,0.22673031,6.360381862,2.899761337,3.878281623,-6.217183771,4.403341289,0.369928401,-2.589498807,-0.274463007,4.474940334,5.835322196,5.954653938,7.553699284,0.704057279,1.801909308,2.613365155,5.859188544,2.016706444,6.479713604,3.61575179,7.959427208,1.849642005,-2.517899761,3.878281623,3.042959427,8.38902148,NA,NA,NA,NA,NA
1582737,-1.706443914,6.360381862,4.260143198,5.930787589,-2.040572792,-4.68973747,-0.751789976,6.69451074,-0.560859189,-5.190930788,1.92124105,2.183770883,2.279236277,4.737470167,1.46778043,-0.942720764,1.730310263,-2.470167064,0.894988067,6.957040573,7.267303103,0.107398568,6.145584726,8.245823389,-0.680190931,1.873508353,5.859188544,-4.045346062,-0.298329356,3.377088305,-1.324582339,8.198090692,6.933174224,4.451073986
1574888,6.933173496,4.856801181,6.980906193,1.921240322,6.622910966,6.933173496,-0.083532948,-0.966587841,4.642004045,5.381860847,-2.804296671,-4.21241123,-2.422435096,-1.348449416,3.090691396,4.785202136,-1.181384977,-0.274463736,6.312648436,2.016705716,-3.114559201,2.159903806,-4.307876623,-1.348449416,3.973746288,3.305488532,2.112171109,5.572791634,-2.183771611,-0.942721492,5.572791634,-6.575178998,-4.570406456,5.883054164
1548943,1.276849642,6.933174224,-0.035799523,-2.183770883,-2.159904535,-0.84725537,1.1575179,1.348448687,-4.37947494,-6.766109785,3.233890215,0.704057279,0.011933174,1.1575179,-0.202863962,-0.22673031,-1.30071599,-1.062052506,1.515513126,0.918854415,0.178997613,1.587112172,-3.186157518,-5.548926014,-3.30548926,3.281622912,-4.451073986,-0.441527446,0.918854415,-2.255369928,-0.84725537,-2.54176611,-1.992840095,-5.095465394
1520882,-0.751789976,7.625298329,6.957040573,3.973747017,-2.23150358,-0.799522673,5.238663484,-4.713603819,-2.732696897,9.248210024,7.76849642,-3.114558473,2.303102625,3.520286396,3.042959427,3.997613365,6.169451074,4.761336516,1.849642005,1.682577566,7.362768496,0.966587112,1.563245823,-2.064439141,3.902147971,-2.780429594,6.026252983,7.863961814,1.014319809,-0.155131265,3.210023866,9.868735084,-1.587112172,9.128878282
1065374,-0.799522673,1.420047733,5.334128878,5.190930788,2.923627685,2.183770883,3.114558473,3.663484487,5.214797136,-0.059665871,5.453460621,3.639618138,3.496420048,-1.396181384,-1.873508353,-5.668257757,5.167064439,0.823389021,3.997613365,3.997613365,6.121718377,3.090692124,-1.014319809,-2.279236277,0.202863962,-3.735083532,3.949880668,-4.522673031,2.279236277,2.708830549,-1.945107399,4.331742243,4.069212411,0.393794749
1524530,NA,NA,1.744054432,0.525687707,1.83990515,-4.301347265,3.536440395,-1.625122654,-3.919029464,5.256870502,5.256870502,5.758662617,5.32855509,-1.649017516,-3.417237349,1.170848997,2.676225341,8.243728328,8.17204374,4.635604074,9.032258794,6.379929045,0.74074147,-0.86048705,-0.741012737,1.338113035,3.655914708,7.909200251,6.666667396,5.376344815,4.444445174,2.508961303,8.697730717,8.291518053
1521360,1.61097852,8.150357995,6.479713604,-1.276849642,6.241050119,7.3150358,4.116945107,2.040572792,2.780429594,0.560859189,5.334128878,-0.894988067,3.997613365,7.959427208,2.207637232,7.744630072,7.696897375,4.498806683,7.124105012,1.587112172,8.603818616,9.367541766,1.968973747,1.730310263,9.415274463,3.448687351,5.143198091,-2.183770883,0.274463007,1.515513126,3.61575179,-0.131264916,9.033412888,8.174224344
1585586,6.837708831,-0.966587112,3.568019093,1.30071599,-0.369928401,4.331742243,5.190930788,3.019093079,6.121718377,7.482100239,6.241050119,4.093078759,3.138424821,7.219570406,5.214797136,4.713603819,4.665871122,6.813842482,0.393794749,2.565632458,7.410501193,2.398568019,6.599045346,9.009546539,-0.035799523,1.276849642,-1.563245823,8.8424821,-3.424821002,-4.570405728,9.653937947,2.947494033,2.470167064,-3.639618138
1548065,9.066587462,4.193077361,7.663006111,5.484246229,7.572315735,7.233650736,3.410261423,6.326490598,-2.661097852,9.362291869,2.083054135,-1.071838525,9.419807671,5.205011117,4.236037953,6.059427557,5.983053494,2.27899738,-5.248449503,-2.909547355,8.608351824,6.412647766,-0.794988009,8.565394144,6.92816031,5.333889982,4.374461026,8.212409919,8.288781068,-2.121957856,-0.86181495,7.410262297,2.608591594,8.507636532
1555074,-4.904534606,4.403341289,0.751789976,-2.565632458,3.997613365,3.687350835,2.923627685,0.608591885,0.608591885,-3.902147971,1.658711217,-4.785202864,-0.417661098,3.281622912,0.059665871,3.806682578,4.737470167,5.238663484,-0.513126492,6.575178998,0.465393795,5.453460621,1.443914081,-4.021479714,-1.92124105,-5.835322196,3.568019093,-1.205250597,0.918854415,-0.942720764,2.875894988,4.355608592,7.410501193,3.61575179
1573029,2.543604651,7.456395349,-6.264534884,-1.75872093,2.340116279,4.462209302,2.834302326,-0.799418605,0.276162791,8.154069767,4.869186047,4.345930233,2.369186047,4.985465116,3.125,6.061046512,4.375,3.066860465,-3.415697674,1.613372093,-1.497093023,3.997093023,-5.654069767,-3.095930233,7.863372093,8.00872093,6.64244186,7.223837209,-0.770348837,5.595930233,-1.962209302,6.177325581,1.148255814,-0.566860465
1553293,8.102625298,8.221957041,8.126491647,8.126491647,6.121718377,6.169451074,4.045346062,1.014319809,4.427207637,8.293556086,1.085918854,6.121718377,3.019093079,0.799522673,3.61575179,0.990453461,0.775656325,3.520286396,6.07398568,0.751789976,0.608591885,6.264916468,2.112171838,2.732696897,2.732696897,3.090692124,-0.775656325,7.529832936,5.143198091,5.238663484,6.957040573,8.770883055,2.064439141,-0.560859189
