Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure
944252,2.899761337,-6.38424821,-4.474940334,-2.159904535,5.071599045,2.661097852,7.45823389,2.971360382,-6.145584726,-6.408114558,-4.116945107,-1.682577566,4.761336516,7.076372315,5.572792363,8.436754177,2.613365155,5.167064439,2.99522673,7.553699284,-6.360381862,-4.164677804,-4.116945107,-1.801909308,2.589498807,5.190930788,-6.336515513,5.811455847,-2.350835322,-4.212410501,8.627684964,-2.637231504,-0.84725537,8.53221957
953758,-0.966587112,8.221957041,3.066825776,4.713603819,4.403341289,0.08353222,-2.875894988,-7.911694511,-6.145584726,5.906921241,6.360381862,1.205250597,-2.85202864,-5.978520286,-5.954653938,-6.217183771,-4.021479714,-0.202863962,1.229116945,-3.544152745,-1.062052506,7.14797136,-2.828162291,1.730310263,2.088305489,0.513126492,0.369928401,8.054892601,-4.832935561,-6.217183771,-3.472553699,3.997613365,3.973747017,4.093078759
1028243,4.761336516,3.066825776,4.809069212,4.880668258,6.646778043,6.861575179,-0.656324582,8.341288783,0.393794749,-4.045346062,6.312649165,8.436754177,8.53221957,7.028639618,0.942720764,0.131264916,4.140811456,9.248210024,4.737470167,6.503579952,8.770883055,-0.823389021,2.183770883,2.064439141,8.770883055,-6.980906921,-3.973747017,-4.427207637,-6.766109785,-6.69451074,5.334128878,-0.608591885,-2.422434368,-4.284009547
1029440,2.54176611,3.711217184,-1.420047733,-5.596658711,-4.188544153,5.477326969,4.355608592,-1.539379475,3.019093079,8.38902148,5.047732697,-4.68973747,0.513126492,2.207637232,3.854415274,-2.637231504,0.250596659,0.369928401,7.3150358,-2.350835322,-6.503579952,-2.470167064,-1.491646778,1.706443914,-0.918854415,-3.424821002,2.23150358,6.097852029,2.064439141,7.00477327,1.945107399,3.902147971,-3.902147971,-0.894988067
1035571,-6.336515513,-3.400954654,2.016706444,7.219570406,3.61575179,3.496420048,2.326968974,6.861575179,6.742243437,5.381861575,7.482100239,7.744630072,5.596658711,5.047732697,7.863961814,4.976133652,-3.902147971,6.575178998,2.947494033,5.596658711,8.031026253,3.902147971,-1.252983294,-4.546539379,-1.348448687,-7.100238663,-1.30071599,2.088305489,0.22673031,7.219570406,-2.088305489,-1.92124105,2.207637232,8.102625298
1107838,3.648255814,-2.630813953,-1.119186047,-1.816860465,-2.630813953,3.00872093,-1.090116279,0.334302326,3.328488372,1.526162791,-4.811046512,-4.25872093,-0.188953488,-0.595930233,1.409883721,7.456395349,4.898255814,7.252906977,1.787790698,-1.555232558,2.078488372,5.130813953,6.322674419,3.677325581,3.299418605,0.218023256,-3.328488372,-5.334302326,-3.502906977,-5.072674419,4.869186047,5.101744186,5.276162791,2.223837209
1504349,0.489260143,4.498806683,-2.494033413,-6.264916468,7.625298329,0.489260143,7.959427208,-4.570405728,7.887828162,2.637231504,1.945107399,0.513126492,8.245823389,2.470167064,-1.1575179,5.548926014,0.560859189,2.112171838,-4.116945107,4.665871122,6.07398568,6.217183771,-0.107398568,-6.742243437,8.627684964,2.804295943,3.472553699,-1.396181384,1.778042959,-3.281622912,7.267303103,3.257756563,-0.656324582,7.00477327
1509770,-3.424821002,0.465393795,1.085918854,2.708830549,6.264916468,3.591885442,1.563245823,-0.22673031,-5.238663484,1.563245823,4.832935561,2.207637232,-3.854415274,-3.090692124,-0.107398568,2.780429594,4.355608592,-0.059665871,-0.799522673,-0.84725537,-3.591885442,-2.088305489,5,-2.350835322,-7.434367542,-7.195704057,-1.372315036,-0.680190931,0.346062053,0.346062053,-3.902147971,-1.396181384,2.112171838,-2.23150358
1509852,4.498806683,4.785204321,4.785204321,-3.305787881,6.670645848,2.422434368,5.763724607,5.548927471,-1.77834158,-4.880966878,2.374701671,3.806682578,3.806682578,3.472553699,1.348448687,1.348448687,0.727923628,-1.873806974,1.420047733,-1.348747308,-2.375000291,-1.229415566,-1.01461843,6.503581409,6.861576636,-6.670943012,0.250298038,-2.017005065,-3.639916759,0.22643169,1.849642005,5.906922698,2.780130974,6.431982364
1526139,2.326968974,-1.062052506,-1.778042959,3.090692124,4.665871122,6.503579952,4.522673031,7.935560859,-3.568019093,-6.312649165,0.513126492,-5,8.07875895,1.92124105,-4.832935561,-2.040572792,4.761336516,8.007159905,-6.193317422,1.324582339,1.897374702,-0.918854415,5.692124105,-6.336515513,8.102625298,-1.038186158,1.587112172,-6.551312649,-8.150357995,-8.126491647,1.587112172,3.138424821,2.040572792,1.897374702
1531673,3.520286396,6.909307876,1.062052506,1.563245823,4.880668258,3.233890215,6.050119332,4.522673031,4.260143198,4.045346062,-0.871121718,1.539379475,5.071599045,4.021479714,4.68973747,4.37947494,4.880668258,3.997613365,-0.035799523,4.069212411,-1.420047733,1.205250597,1.992840095,-2.517899761,1.252983294,-5.525059666,-0.632458234,1.038186158,0.84725537,-1.443914081,-1.372315036,-4.212410501,-1.038186158,4.904534606
1557143,7.45823389,3.329355609,6.885441527,4.093078759,0.22673031,7.338902148,-7.124105012,-3.591885442,5.334128878,1.324582339,2.279236277,1.801909308,7.052505967,-1.539379475,-4.284009547,-4.331742243,3.663484487,2.136038186,-1.038186158,1.754176611,3.735083532,5.787589499,0.584725537,-3.830548926,6.145584726,7.124105012,2.565632458,-1.46778043,-1.730310263,-1.348448687,6.789976134,-7.00477327,-5.644391408,5.76372315
1563043,7.577565632,6.933174224,3.520286396,7.887828162,5.739856802,4.68973747,5.692124105,5.190930788,0.727923628,-2.780429594,8.69928401,2.85202864,6.408114558,3.496420048,5.071599045,6.813842482,4.737470167,0.966587112,8.723150358,2.589498807,4.164677804,-1.205250597,-1.539379475,5.692124105,7.338902148,-1.396181384,-2.6849642,-1.348448687,1.181384248,-0.441527446,2.54176611,-3.663484487,5.143198091,-3.758949881
1563047,1.372315036,7.267303103,2.255369928,4.212410501,-5.883054893,-2.923627685,-1.252983294,3.687350835,-4.451073986,-4.427207637,4.23627685,1.849642005,-7.362768496,-2.732696897,3.520286396,6.336515513,-4.427207637,-0.560859189,-2.661097852,-1.30071599,-6.026252983,3.782816229,1.30071599,-2.183770883,-4.618138425,-4.474940334,-5.978520286,3.353221957,-3.210023866,-6.813842482,-2.565632458,-0.346062053,-6.646778043,1.730310263
1563312,4.880668258,4.880668258,1.46778043,-2.23150358,0.465393795,2.54176611,6.813842482,-3.878281623,-0.441527446,-5.835322196,2.494033413,2.494033413,-2.350835322,-4.785202864,-2.159904535,2.23150358,-0.918854415,4.68973747,-5.525059666,7.434367542,1.706443914,7.338902148,4.713603819,6.861575179,3.353221957,-6.38424821,-3.353221957,-1.276849642,-0.871121718,-0.346062053,3.496420048,6.575178998,-4.594272076,6.241050119
1563315,-2.422434368,7.171837709,5.906921241,2.112171838,5.883054893,5.906921241,-3.496420048,-6.026252983,-7.887828162,5.62052506,6.622911695,-5.954653938,2.470167064,2.85202864,-5.835322196,-5.787589499,-8.007159905,-6.551312649,-5.811455847,-6.766109785,2.279236277,7.792362768,-3.329355609,-5.453460621,2.446300716,2.517899761,-1.372315036,-1.730310263,-2.350835322,-1.778042959,-3.61575179,-4.427207637,-0.990453461,-0.990453461
1563316,4.665697674,1.351744186,0.072674419,-3.444767442,-2.136627907,6.584302326,0.50872093,-0.421511628,0.566860465,-0.50872093,-1.061046512,-2.630813953,-3.793604651,1.700581395,3.909883721,2.950581395,3.386627907,5.363372093,1.613372093,3.037790698,5.537790698,-4.462209302,5.654069767,-1.526162791,-1.497093023,-2.456395349,0.973837209,-2.223837209,-6.729651163,-6.671511628,4.840116279,2.165697674,2.688953488,5.828488372
1563329,2.732696897,2.85202864,-2.303102625,-3.162291169,-0.608591885,1.372315036,5.119331742,1.133651551,-2.088305489,-0.680190931,-2.517899761,-5.31026253,-1.730310263,0.489260143,0.441527446,0.513126492,0.751789976,-2.398568019,1.229116945,-0.274463007,0.608591885,1.587112172,2.255369928,-2.183770883,-0.942720764,-4.976133652,-4.737470167,-2.23150358,-8.126491647,-8.174224344,-7.887828162,-8.150357995,-0.155131265,-5
1563332,-1.754176611,6.38424821,5.334128878,7.3150358,6.312649165,-4.021479714,3.735083532,6.909307876,5.238663484,-4.976133652,-2.732696897,0.059665871,6.527446301,-0.942720764,2.899761337,2.661097852,0.966587112,3.663484487,-6.431980907,-4.260143198,2.088305489,5.214797136,-5.715990453,-0.632458234,1.945107399,-0.274463007,-3.711217184,-1.539379475,-7.625298329,-7.505966587,0.369928401,4.928400955,-5.334128878,7.649164678
1563381,6.690140845,3.957746479,-3.676056338,-1.084507042,1.816901408,-1.929577465,-4.295774648,-1.112676056,2.746478873,-2.436619718,-2.605633803,1.873239437,1.676056338,7.676056338,2.661971831,7.084507042,7.169014085,1.985915493,3.845070423,-5.225352113,1.901408451,4.774647887,1.788732394,-4.774647887,6.267605634,7.028169014,-4.323943662,-6.098591549,-3.985915493,-7.169014085,3.169014085,1.816901408,4.436619718,-1.281690141
1563390,-4.570405728,2.064439141,4.021479714,0.53699284,3.973747017,4.045346062,2.207637232,1.348448687,-0.894988067,-4.618138425,4.093078759,-2.85202864,2.255369928,-3.114558473,0.513126492,4.284009547,6.002386635,5.978520286,-4.546539379,0.513126492,4.069212411,5.715990453,-1.205250597,0.560859189,5.930787589,6.217183771,-1.062052506,-4.403341289,-6.670644391,-6.622911695,-2.279236277,4.021479714,0.393794749,-6.575178998
1563391,-4.788732394,-4.873239437,-3.690140845,-0.225352113,-5.915492958,1.774647887,-2.366197183,-2.732394366,-0.76056338,-3.521126761,-6.647887324,-5.887323944,-2.845070423,4.450704225,2.957746479,0.704225352,4.253521127,5.295774648,-6.732394366,1.85915493,-6.535211268,-2.309859155,0.816901408,-6.591549296,-6.450704225,-7.887323944,-0.845070423,1.830985915,1.098591549,-4.197183099,-3.85915493,4.14084507,0.61971831,-1.633802817
1563394,2.064439141,8.269689737,2.207637232,1.46778043,1.945107399,-1.038186158,5,-6.121718377,-6.408114558,-5.477326969,3.949880668,-2.756563246,6.551312649,4.570405728,-0.775656325,-3.114558473,-3.639618138,-7.410501193,0.489260143,-6.336515513,5.835322196,7.840095465,-7.673031026,-2.54176611,-2.899761337,-6.957040573,-7.505966587,-7.052505967,0.465393795,7.45823389,0.53699284,3.138424821,-6.002386635,-4.546539379
1563399,-1.1575179,4.832935561,0.513126492,2.470167064,1.634844869,3.329355609,0.560859189,-1.062052506,7.267303103,-7.386634845,2.661097852,-1.038186158,4.284009547,1.515513126,2.255369928,2.040572792,1.801909308,2.23150358,-0.727923628,-4.68973747,3.854415274,6.885441527,0.656324582,-4.498806683,1.992840095,-6.050119332,2.112171838,-2.732696897,-3.233890215,-3.042959427,-2.374701671,7.124105012,2.112171838,7.100238663
1569643,3.711217184,5.023866348,0.417661098,0.441527446,4.307875895,1.92124105,-1.252983294,-2.6849642,4.021479714,-4.570405728,-3.138424821,-3.329355609,7.243436754,1.30071599,2.064439141,5.548926014,-1.229116945,1.992840095,3.568019093,-1.205250597,-4.37947494,0.894988067,1.873508353,-1.109785203,1.825775656,0.417661098,3.329355609,-3.448687351,-3.973747017,1.014319809,5.62052506,6.909307876,5.668257757,5.859188544
1569646,5.167064439,8.174224344,5.047732697,-1.372315036,1.897374702,5.214797136,1.706443914,-4.761336516,-8.723150358,-8.484486874,3.758949881,-6.837708831,1.849642005,3.973747017,0.393794749,4.904534606,-3.042959427,0.417661098,-4.713603819,5.023866348,8.53221957,0.417661098,-3.472553699,-6.599045346,8.174224344,0.369928401,0.441527446,-2.279236277,-3.186157518,3.329355609,8.221957041,0.393794749,1.992840095,4.68973747
1569648,-1.634844869,5.31026253,-4.832935561,-5.739856802,-5.644391408,7.14797136,-2.470167064,7.887828162,5.238663484,-7.76849642,-3.520286396,-7.911694511,-7.959427208,5.286396181,2.350835322,-6.527446301,2.279236277,7.3150358,3.806682578,-2.565632458,6.909307876,-4.832935561,1.61097852,-4.164677804,-7.887828162,-7.863961814,-8.317422434,6.002386635,-6.503579952,3.735083532,3.377088305,-6.551312649,-4.403341289,7.14797136
1569661,3.591885442,3.854415274,-2.016706444,-3.854415274,0.799522673,0.656324582,-0.942720764,5.501193317,-0.871121718,-4.474940334,-5.334128878,-3.400954654,5.62052506,5.859188544,-1.801909308,-2.875894988,4.474940334,1.491646778,6.551312649,-2.279236277,2.85202864,-3.61575179,0.632458234,-5.143198091,3.329355609,-6.455847255,-3.329355609,1.587112172,0.513126492,6.766109785,-6.646778043,4.37947494,4.069212411,-4.737470167
1569662,6.885441527,7.076372315,5.692124105,3.830548926,3.997613365,2.99522673,-1.968973747,-2.99522673,-0.84725537,2.494033413,1.897374702,-4.284009547,1.658711217,6.026252983,-6.050119332,5.811455847,3.281622912,2.279236277,-3.687350835,3.687350835,7.816229117,5.835322196,-6.837708831,1.539379475,8.69928401,-6.002386635,-6.622911695,8.269689737,5.047732697,-2.159904535,5.62052506,8.054892601,8.794749403,8.150357995
1569666,-0.894988067,7.267303103,2.064439141,-4.188544153,1.897374702,-1.252983294,4.140811456,5.023866348,-7.434367542,-1.109785203,1.992840095,-2.971360382,5.119331742,2.183770883,-0.966587112,-4.355608592,1.801909308,-4.021479714,1.897374702,-6.07398568,6.455847255,7.983293556,8.221957041,7.14797136,5.214797136,-1.539379475,-1.992840095,5.119331742,-2.780429594,-4.642004773,1.897374702,4.522673031,-6.957040573,7.45823389
1569672,-0.382567193,5.567502987,4.970131422,0.54958184,0.979689367,-1.720927431,1.600955795,3.632019116,-2.127140095,7.526883179,-1.171345591,1.720430108,7.598567767,-4.229888004,-3.775885615,5.495818399,4.49223417,-2.963460286,1.74432497,-1.553663393,-0.908004779,1.529271207,-5.544106177,1.792114695,4.062126643,-3.489147264,-3.584726714,3.321385902,-4.564416081,-3.250198638,0.573476703,0.023894863,2.795698925,-5.950318841
