Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure
1032940,0.714285714,0.046428571,0.607142857,0.425,0.557142857,-0.025,-0.921428571,-0.560714286,-1.257142857,0.389285714,-0.592857143,1.625,1.014285714,0.860714286,-0.292857143,0.582142857,-0.085714286,0.703571429,0.578571429,0.653571429,1.3,1.260714286,0.821428571,1.467857143,0.742857143,0.560714286,1.007142857,-0.546428571,-0.414285714,1.260714286,2.278571429,-0.189285714,0.542857143,2.217857143
1027008,6.398467433,-1.623563998,-2.851214062,-1.064815594,-7.622392248,5.14740341,-3.436568493,-1.905597867,1.668795492,8.002075351,-4.771178965,-6.98648387,-1.266496641,7.72296696,7.159429285,4.450297739,1.673052363,4.327905492,7.442528736,6.623563218,-6.66028175,2.329182631,3.604725415,-8.657408187,2.88633461,-0.895594649,0.737547113,6.406449553,-2.790549949,-1.872606143,-3.713283027,-9.640805377,-9.182631686,-8.850575492
1525555,7.309090909,7.040909091,6.154545455,5.995454545,7.581818182,6.404545455,6.718181818,8.05,4.181818182,4.131818182,2.590909091,4.286363636,7.436363636,7.495454545,7.118181818,6.159090909,5.054545455,6.168181818,5.172727273,5.886363636,5.581818182,8.113636364,6.209090909,7.940909091,7.6,7.368181818,6.481818182,5.340909091,5.763636364,7.640909091,5.154545455,6.195454545,7.781818182,7.040909091
1065122,6.944444444,3.177083333,8.530092593,8.559027778,9.12037037,4.681712963,1.840277778,4.508101852,0.694444444,9.259259259,2.1875,6.799768519,8.541666667,6.163194444,8.321759259,1.452546296,-1.203703704,7.760416667,8.761574074,5.873842593,9.282407407,0.607638889,4.710648148,9.230324074,7.361111111,3.269675926,3.252314815,-0.190972222,3.217592593,6.255787037,4.571759259,6.591435185,1.759259259,9.12037037
1583236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1079678,0.996167998,2.25287368,0.444444094,0.551723319,1.080459653,1.264367231,-0.620689538,-4.421457459,-0.214560205,-6.735632301,0.76628294,-0.429118657,-3.042145945,1.118773829,1.494252289,0.72030663,3.24137896,1.241378492,-0.72030663,0.613026235,-0.697317891,-0.475096136,-0.789272849,0.1992336,0.421455354,0.145593987,3.049808078,-2.130269018,-0.950191688,-0.613027405,-0.160919423,-0.43678196,0.168581557,-0.452107397
1507746,4.563491458,-2.15079353,-1.563492427,1.920634073,-0.055555919,5.015872168,6.634920514,1.666666061,0.904762026,-0.444444323,1.571428208,0.650792803,3.4206348,5.793650188,2.134920756,-1.761905125,-2.007937356,0.650792803,2.547618927,2.936507331,-0.484126863,-2.753968617,-0.817461165,-0.190476312,3.531745426,0.547619169,-1.880952744,-2.920635768,-3.325396946,NA,NA,NA,NA,NA
1582737,2.795031056,1.60326087,4.479813665,2.480590062,6.288819876,3.792701863,-0.597826087,4.607919255,7.236024845,-1.626552795,3.579192547,1.207298137,7.158385093,0.500776398,5.954968944,1.067546584,-0.217391304,4.274068323,2.492236025,0.39984472,6.940993789,8.10947205,6.638198758,0.322204969,2.080745342,-1.906055901,5.442546584,1.145186335,4.239130435,2.736801242,5.27173913,3.552018634,-0.807453416,6.13742236
1574888,1.417717521,2.781890509,0.012599314,5.156692745,2.662992102,0.877952876,6.809449083,2.701575212,1.192126537,5.470079437,6.835039995,2.805512796,4.839370007,6.20393708,5.363779744,5.70472477,5.179528064,5.284252617,4.325985045,6.517323772,4.732283344,3.734645693,4.98110253,7.448031808,4.034252617,1.97362284,2.747638732,5.135826652,3.114566953,5.896850946,4.623228659,7.798819354,6.18582718,1.644882442
1548943,6.607594937,6.588607595,6.772151899,3.158227848,8.151898734,5.246835443,5.329113924,3.386075949,7.518987342,5.373417722,7.582278481,7.715189873,8.253164557,7.727848101,7.506329114,7.183544304,6.253164557,8.158227848,7.734177215,5.537974684,6.379746835,8.284810127,7.658227848,8.14556962,6.202531646,8.310126582,8.240506329,8.069620253,8.303797468,8.588607595,7.860759494,8.398734177,8.683544304,8.462025316
1520882,4.047619048,6.719494048,2.819940476,5.872767857,3.830357143,1.502232143,7.650297619,-4.344494048,8.422619048,7.332589286,0.813988095,-5.609375,2.348214286,0.115327381,4.691964286,2.030505952,5.226190476,3.421875,6.760416667,5.241815476,8.389880952,1.871279762,0.828869048,5.524553571,-1.898809524,3.249255952,6.825892857,2.593005952,7.645833333,6.603422619,7.799107143,5.470982143,7.333333333,-2.328125
1065374,3.217391304,3.89673913,-0.293478261,4.168478261,4.673913043,5.179347826,3.510869565,1.451086957,0.52173913,7.461956522,0.619565217,0.211956522,1.760869565,0.744565217,4.72826087,1.842391304,2.130434783,5.375,2.967391304,4.385869565,2.413043478,2.527173913,6.032608696,1.451086957,3.173913043,6.375,-1.72826087,4.907608696,6.5,6.483695652,2.510869565,-3.027173913,5.130434783,7.070652174
