Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure
944252,7.066115072,7.099689452,7.214875655,7.371899944,7.115702353,-2.148760961,7.214875655,4.644627216,-2.719008391,5.165288626,5.280991862,5.396693837,-2.04958766,-2.181818308,4.669420857,4.785124093,-4.107439656,-4.074379787,2.48760318,-4.132232035,3.504132358,3.702478961,-2.421487225,3.479338717,-6.32231468,-6.041323449,1.429751688,2.413222258,-2.388429878,1.322313419,2.51239682,1.842974828,1.835226894,-6.396694341
953758,2.674698795,-0.042168675,-2.807228916,-2.728915663,0.289156627,0.174698795,8.156626506,8.138554217,5.662650602,8.246987952,4.662650602,3.102409639,0.819277108,2.295180723,0.734939759,4.042168675,1.421686747,-5.295180723,7.939759036,3.198795181,6.168674699,6.15060241,6.759036145,6.018072289,0.891566265,-3.36746988,-1.987951807,7.921686747,7.518072289,7.644578313,5.024096386,5.054216867,7.831325301,2.415662651
1028243,3.581780538,5.561076099,5.470238601,5.544513205,3.466096803,3.540372671,7.341614401,8.078934253,4.21118063,7.51552795,1.130434277,1.204969197,5.105589557,4.600414331,2.190475938,7.01863354,3.697722062,5.263199263,8.352225167,5.32945084,6.149068323,2.579968691,6.828157097,-1.511387164,3.449274857,-1.776397263,-1.701863607,2.762163056,7.225672878,7.466097056,6.464027421,4.716355855,4.790890775,4.782608696
1029440,4.876032427,1.685950539,0.851239291,4.809916473,7.48760318,3.892561857,5.495867138,-1.702479213,7.983470948,2.933883667,-1.289256072,2.049586399,1.528924989,-1.16528913,-2.082645006,2.867767712,3.727272601,6.570247303,6.520661283,-3.39669535,6.925619456,5.553718126,7.69421475,8.099172923,5.239669548,-2.371902466,3.115701597,2.280991609,1.570247303,8.132747934,6.471074002,3.487602423,4.057851114,2.603305155
1035571,5.059288538,2.554347826,2.381422925,4.619565217,2.865612648,5.024703557,4.772727273,6.18083004,7.470355731,3.384387352,1.393280632,-1.625494071,-1.719367589,1.032608696,-2.618577075,-5.004940711,6.324110672,-6.536561265,1.037549407,-3.166996047,-4.486166008,-3.2756917,4.851778656,4.165019763,3.043478261,1.368577075,0.484189723,3.947628458,4.249011858,0.43972332,3.270750988,6.338932806,6.679841897,-3.967391304
1107838,5.166666667,7.3125,8.069444444,5.715277778,3.861111111,3.284722222,1.375,-4.534722222,7.388888889,6.534722222,4.291666667,6.104166667,6.75,4.729166667,-0.902777778,-2.145833333,-0.833333333,2.756944444,8.402777778,-2.673611111,5.138888889,0.895833333,4.930555556,-5.034722222,-1.944444444,3.368055556,0.347222222,2.159722222,8.666666667,8.173611111,-3.458333333,2.854166667,-7.055555556,1.368055556
1504349,6.470588235,6.456356736,6.55597723,-1.541745731,6.641366224,-0.317836812,-0.218216319,6.674573055,-6.129032258,2.092030361,3.785578748,5.365275142,7.476280835,5.147058824,5.09487666,-4.520872865,0.777988615,8.581593928,-5.170777989,4.15085389,5.313092979,6.209677419,4.070208729,7.281783681,5.977229602,-2.272296015,-0.009487666,3.391840607,7.020872865,8.107210626,4.677419355,7.205882353,1.992409867,8.012333966
1509770,5.173745174,-6.694015444,5.222007722,-6.375482625,5.308880309,4.02027027,8.175675676,6.771235521,8.108108108,3.653474903,8.465250965,6.288610039,7.277992278,8.846525097,8.368725869,1.713320463,6.177606178,0.101351351,4.913127413,-1.819498069,-1.370656371,6.645752896,5.202702703,8.045366795,9.343629344,8.634169884,3.407335907,5.902509653,-1.293436293,3.904440154,5.164092664,2.060810811,5.057915058,7.591698842
1509852,7.935222054,-1.668016071,-0.218623852,5.360323022,7.983805544,7.975707884,1.732793646,-4.753038043,8.072873629,-1.773279476,4.291497358,0.882591217,6.137651451,3.295545694,6.170039621,2.03238854,4.453440678,3.230769354,7.43319801,5.643723831,-0.680162067,0.850201811,5.012145873,5.085019872,5.846152981,0.412955342,6.882590475,6.388664091,8.080971289,8.113359459,8.064777204,3.279351609,3.190283524,6.744938901
1526139,-6.115384615,6.831730769,6.009615385,4.533653846,5.596153846,1.004807692,0.951923077,-6.100961538,4,-7.591346154,5.086538462,6.956730769,-8.403846154,3.427884615,2.567307692,2.629807692,-1.5,-4.745192308,5.625,2.110576923,7.903846154,-1.302884615,2.182692308,7.899038462,-7.115384615,0.677884615,-2.875,-6.197115385,6.442307692,7.697115385,0.721153846,6.168269231,-4.384615385,-1.552884615
